transaction_id,transaction_date,customer_id,customer_name,customer_type,contract_discount_pct,store_id,store_name,channel,region,city_tier,product_id,sku_code,product_name,category,subcategory,brand,promo_id,promo_name,promo_type,quantity,list_price_inr,gross_revenue_inr,contract_discount_inr,promo_discount_inr,adhoc_discount_inr,total_discount_inr,net_revenue_inr,base_cogs_inr,gross_margin_inr,gross_margin_pct,fulfillment_cost_inr,vendor_coop_rebate_inr,return_flag,return_cost_inr,pocket_profit_inr,pocket_margin_pct,discount_waterfall_pct
TX_0000001,2025-09-12,CUST_00237,Client Account 0237,Retail Standard,0.0,STORE_PHY_007,OmniRetail Store 7 (North - Tier 2),Physical Store,North,Tier 1,PROD_1162,SKU-HOM-HOM-1162,HomeComfort Home Decor V3,Home & Kitchen,Home Decor,HomeComfort,PROMO_NONE,No Promotion / Baseline,None,4,2499,9996,0.0,0.0,0.0,0.0,9996.0,5373.0,4623.0,46.25,600.84,0.0,False,0.0,4022.16,40.24,0.0
TX_0000002,2024-09-19,CUST_00003,Client Account 0003,Retail Standard,0.0,STORE_PHY_004,OmniRetail Store 4 (North - Tier 1),Physical Store,East,Tier 2,PROD_1028,SKU-CON-AUD-1028,KritiTech Audio & Headphone V1,Consumer Electronics,Audio & Headphones,KritiTech,PROMO_FLASH_WED,E-Comm Flash Wednesday,Digital Flash,4,18319,73276,0.0,8793.12,0.0,8793.12,64482.88,63918.8,564.0799999999945,0.87,2038.89,4396.56,False,0.0,2921.75,4.53,12.0
TX_0000003,2024-05-28,CUST_00310,Client Account 0310,Retail Standard,0.0,STORE_ONLINE_DIRECT,OmniRetail Direct App & Web,E-Commerce Direct,East,Tier 3,PROD_1182,SKU-FMC-SKI-1182,NurtureNature Skincare & Grooming V2,FMCG & Personal Care,Skincare & Grooming,NurtureNature,PROMO_NONE,No Promotion / Baseline,None,4,899,3596,0.0,0.0,0.0,0.0,3596.0,2422.72,1173.2800000000002,32.63,488.47,0.0,False,0.0,684.81,19.04,0.0
TX_0000004,2024-08-22,CUST_00313,Client Account 0313,Retail Standard,0.0,STORE_PHY_008,OmniRetail Store 8 (North - Tier 3),Physical Store,North,Tier 2,PROD_1049,SKU-CON-WEA-1049,SonicX Wearable V1,Consumer Electronics,Wearables,SonicX,PROMO_NONE,No Promotion / Baseline,None,1,67679,67679,0.0,0.0,0.0,0.0,67679.0,55272.75,12406.25,18.33,4090.74,0.0,False,0.0,8315.51,12.29,0.0
TX_0000005,2024-02-13,CUST_00074,Client Account 0074,Retail Standard,0.0,STORE_PHY_011,OmniRetail Store 11 (South - Tier 1),Physical Store,East,Tier 2,PROD_1046,SKU-CON-WEA-1046,TechMax Wearable V1,Consumer Electronics,Wearables,TechMax,PROMO_FLASH_WED,E-Comm Flash Wednesday,Digital Flash,1,26569,26569,0.0,3188.28,0.0,3188.28,23380.72,23079.23,301.4900000000016,1.29,777.92,1594.14,False,0.0,1117.71,4.78,12.0
TX_0000006,2024-04-11,CUST_00470,Client Account 0470,B2B SMB,0.095,STORE_PHY_034,OmniRetail Store 34 (West - Tier 2),Physical Store,East,Tier 3,PROD_1081,SKU-APP-WES-1081,UrbanWeave Western Wear V3,Apparel & Fashion,Western Wear,UrbanWeave,PROMO_NONE,No Promotion / Baseline,None,147,3519,517293,49142.83,0.0,0.0,49142.83,468150.17,210580.44,257569.72999999998,55.02,26884.51,0.0,False,0.0,230685.22,49.28,9.5
TX_0000007,2025-11-05,CUST_00017,Client Account 0017,Retail Standard,0.0,STORE_PHY_022,OmniRetail Store 22 (East - Tier 1),Physical Store,South,Tier 1,PROD_1012,SKU-CON-SMA-1012,AuraGadgets Smartphone V3,Consumer Electronics,Smartphones,AuraGadgets,PROMO_DIWALI,Diwali Festive Dhamaka,Festive Campaign,1,20519,20519,0.0,4103.8,0.0,4103.8,16415.2,16697.29,-282.09000000000015,-1.72,520.21,1231.14,False,0.0,428.84,2.61,20.0
TX_0000008,2024-06-19,CUST_00378,Client Account 0378,Retail Standard,0.0,STORE_PHY_024,OmniRetail Store 24 (East - Tier 2),Physical Store,West,Tier 3,PROD_1188,SKU-FMC-SKI-1188,CleanGlow Skincare & Grooming V2,FMCG & Personal Care,Skincare & Grooming,CleanGlow,PROMO_NONE,No Promotion / Baseline,None,2,1369,2738,0.0,0.0,0.0,0.0,2738.0,1934.02,803.98,29.36,115.82,0.0,False,0.0,688.16,25.13,0.0
TX_0000009,2024-04-28,CUST_00175,Client Account 0175,Retail Standard,0.0,STORE_PHY_026,OmniRetail Store 26 (East - Tier 3),Physical Store,West,Tier 2,PROD_1209,SKU-FMC-PAC-1209,VitalFoods Packaged Food V2,FMCG & Personal Care,Packaged Foods,VitalFoods,PROMO_NONE,No Promotion / Baseline,None,2,296,592,0.0,0.0,0.0,0.0,592.0,457.94,134.06,22.65,52.02,0.0,False,0.0,82.04,13.86,0.0
TX_0000010,2025-05-16,CUST_00187,Client Account 0187,Retail Gold,0.0,STORE_PHY_028,OmniRetail Store 28 (West - Tier 1),Physical Store,West,Tier 1,PROD_1175,SKU-HOM-STO-1175,HomeComfort Storage Solution V1,Home & Kitchen,Storage Solutions,HomeComfort,PROMO_FLASH_WED,E-Comm Flash Wednesday,Digital Flash,1,4899,4899,0.0,587.88,0.0,587.88,4311.12,2875.72,1435.4,33.3,144.63,293.94,False,0.0,1584.71,36.76,12.0
TX_0000011,2025-11-04,CUST_00224,Client Account 0224,Retail Silver,0.0,STORE_PHY_031,OmniRetail Store 31 (West - Tier 1),Physical Store,West,Tier 1,PROD_1153,SKU-HOM-HOM-1153,ChefCraft Home Decor V3,Home & Kitchen,Home Decor,ChefCraft,PROMO_DIWALI,Diwali Festive Dhamaka,Festive Campaign,3,7949,23847,0.0,4769.4,0.0,4769.4,19077.6,13581.75,5495.8499999999985,28.81,590.78,1430.82,False,0.0,6335.89,33.21,20.0
TX_0000012,2025-06-02,CUST_00126,Client Account 0126,B2B SMB,0.107,STORE_PHY_014,OmniRetail Store 14 (South - Tier 2),Physical Store,South,Tier 1,PROD_1012,SKU-CON-SMA-1012,AuraGadgets Smartphone V3,Consumer Electronics,Smartphones,AuraGadgets,PROMO_NONE,No Promotion / Baseline,None,52,20519,1066988,114167.72,0.0,0.0,114167.72,952820.28,868259.08,84561.20000000007,8.87,39555.81,0.0,False,0.0,45005.39,4.72,10.7
TX_0000013,2025-01-07,CUST_00111,Client Account 0111,B2B SMB,0.13,STORE_PHY_007,OmniRetail Store 7 (North - Tier 2),Physical Store,East,Tier 1,PROD_1051,SKU-CON-WEA-1051,SonicX Wearable V3,Consumer Electronics,Wearables,SonicX,PROMO_NONE,No Promotion / Baseline,None,84,48689,4089876,531683.88,0.0,0.0,531683.88,3558192.12,3564678.6,-6486.479999999981,-0.18,143663.28,0.0,False,0.0,-150149.76,-4.22,13.0
TX_0000014,2024-08-12,CUST_00456,Client Account 0456,Retail Standard,0.0,STORE_PHY_020,OmniRetail Store 20 (East - Tier 1),Physical Store,North,Tier 3,PROD_1045,SKU-CON-LAP-1045,KritiTech Laptops & Tablet V3,Consumer Electronics,Laptops & Tablets,KritiTech,PROMO_NONE,No Promotion / Baseline,None,3,52279,156837,0.0,0.0,0.0,0.0,156837.0,131951.13,24885.869999999995,15.87,4937.31,0.0,False,0.0,19948.56,12.72,0.0
TX_0000015,2025-10-05,CUST_00157,Client Account 0157,Retail Silver,0.0,STORE_PHY_032,OmniRetail Store 32 (West - Tier 2),Physical Store,West,Tier 2,PROD_1098,SKU-APP-FOO-1098,MetroTreads Footwear V2,Apparel & Fashion,Footwear,MetroTreads,PROMO_NONE,No Promotion / Baseline,None,4,4629,18516,0.0,0.0,0.0,0.0,18516.0,7195.92,11320.08,61.14,1067.64,0.0,False,0.0,10252.44,55.37,0.0
TX_0000016,2024-07-23,CUST_00218,Client Account 0218,Retail Silver,0.0,STORE_PHY_024,OmniRetail Store 24 (East - Tier 2),Physical Store,East,Tier 1,PROD_1004,SKU-CON-SMA-1004,SonicX Smartphone V1,Consumer Electronics,Smartphones,SonicX,PROMO_NONE,No Promotion / Baseline,None,4,62679,250716,0.0,0.0,0.0,0.0,250716.0,215306.4,35409.600000000006,14.12,10098.24,0.0,False,0.0,25311.36,10.1,0.0
TX_0000017,2025-01-27,CUST_00312,Client Account 0312,Retail Silver,0.0,STORE_PHY_018,OmniRetail Store 18 (South - Tier 3),Physical Store,North,Tier 1,PROD_1096,SKU-APP-FOO-1096,UrbanWeave Footwear V3,Apparel & Fashion,Footwear,UrbanWeave,PROMO_EOSS,End of Season Sale (EOSS),Clearance Markdown,2,1149,2298,0.0,689.4,0.0,689.4,1608.6,943.68,664.92,41.34,202.42,68.94,False,0.0,531.44,33.04,30.0
TX_0000018,2024-11-26,CUST_00233,Client Account 0233,B2B Enterprise,0.205,STORE_PHY_024,OmniRetail Store 24 (East - Tier 2),Physical Store,North,Tier 1,PROD_1017,SKU-CON-AUD-1017,TechMax Audio & Headphone V2,Consumer Electronics,Audio & Headphones,TechMax,PROMO_FLASH_WED,E-Comm Flash Wednesday,Digital Flash,115,22149,2547135,522162.67,305656.2,0.0,827818.87,1719316.13,2103246.5,-383930.3700000001,-22.33,70411.4,413909.43,False,0.0,-40432.34,-2.35,32.5
TX_0000019,2025-03-16,CUST_00394,Client Account 0394,Retail Gold,0.0,STORE_PHY_017,OmniRetail Store 17 (South - Tier 3),Physical Store,North,Tier 1,PROD_1045,SKU-CON-LAP-1045,KritiTech Laptops & Tablet V3,Consumer Electronics,Laptops & Tablets,KritiTech,PROMO_NONE,No Promotion / Baseline,None,3,52279,156837,0.0,0.0,0.0,0.0,156837.0,131951.13,24885.869999999995,15.87,9642.42,0.0,False,0.0,15243.45,9.72,0.0
TX_0000020,2025-04-05,CUST_00360,Client Account 0360,Retail Gold,0.0,STORE_PHY_029,OmniRetail Store 29 (West - Tier 1),Physical Store,North,Tier 3,PROD_1068,SKU-APP-ETH-1068,MetroTreads Ethnic Wear V2,Apparel & Fashion,Ethnic Wear,MetroTreads,PROMO_NONE,No Promotion / Baseline,None,4,2479,9916,0.0,0.0,0.0,0.0,9916.0,4871.56,5044.44,50.87,566.88,0.0,False,0.0,4477.56,45.15,0.0
TX_0000021,2025-05-05,CUST_00175,Client Account 0175,Retail Standard,0.0,STORE_PHY_036,OmniRetail Store 36 (West - Tier 3),Physical Store,West,Tier 2,PROD_1052,SKU-CON-WEA-1052,VoltDevices Wearable V1,Consumer Electronics,Wearables,VoltDevices,PROMO_NONE,No Promotion / Baseline,None,4,46069,184276,0.0,0.0,0.0,0.0,184276.0,161993.4,22282.600000000006,12.09,11100.96,0.0,False,0.0,11181.64,6.07,0.0
TX_0000022,2025-03-13,CUST_00047,Client Account 0047,Retail Standard,0.0,STORE_PHY_024,OmniRetail Store 24 (East - Tier 2),Physical Store,North,Tier 3,PROD_1159,SKU-HOM-HOM-1159,PureHome Home Decor V3,Home & Kitchen,Home Decor,PureHome,PROMO_NONE,No Promotion / Baseline,None,1,8059,8059,0.0,0.0,0.0,0.0,8059.0,4793.99,3265.01,40.51,333.91,0.0,False,0.0,2931.1,36.37,0.0
